"","X","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery","binned","stars"
"1",38337,"Italy","Here's an enjoyable straightforward white that offers aromas and flavors of ripe apple, peach and a hint of nectarine zest. A white almond note closes the finish.","Il Selese",87,14,"Veneto","Soave",NA,"Kerin O’Keefe","@kerinokeefe","I Stefanini 2015 Il Selese  (Soave)","Garganega","I Stefanini","2",1.75
"2",59158,"Argentina","Not very vivid in color, with aromas of rhubarb, raspberry and red licorice candy. The palate is a touch scratchy, with flavors of cassis and brown sugar but not a whole lot of true Cabernet character. The finish has a slight tannic bite, but overall this is generic red wine to the max.","Finca La Linda",84,11,"Mendoza Province","Luján de Cuyo",NA,"Michael Schachner","@wineschach","Luigi Bosca 2007 Finca La Linda Cabernet Sauvignon (Luján de Cuyo)","Cabernet Sauvignon","Luigi Bosca","1",1
"3",73199,"US","An innocuous, easy drinking wine with notes of apple and pear pairing with a medium bodied, textured feel. Some sugar sweetens the finish.",NA,86,12,"Washington","Columbia Valley (WA)","Columbia Valley","Sean P. Sullivan","@wawinereport","Red Theory 2012 Chardonnay (Columbia Valley (WA))","Chardonnay","Red Theory","1",1.5
"4",127574,"Spain","Beautifully composed, with power and just as much precision and pizzazz. The nose offers lightly baked berry fruit notes, leather and spice, while the palate is loaded with tobacco, exotic spices and the finest natural berry flavors Spain has to offer. Smooth, elegant, finessed and potent, with integrated tannins and bold acidity that will keep it going for at least a decade. Drink from 2012 through 2018.","Malleolus de Valderramiro",97,180,"Northern Spain","Ribera del Duero",NA,"Michael Schachner","@wineschach","Emilio Moro 2006 Malleolus de Valderramiro  (Ribera del Duero)","Tinto Fino","Emilio Moro","5",4.25
"5",3326,"New Zealand","Slightly more concentrated than other Marlborough Pinots in this price range, the 2008 Mana displays modest cherry fruit and an array of savory elements, including game, brine and peppery spice. It's a bit rough around the edges, yet in a charming sort of way. Drink now–2012.",NA,87,17,"Marlborough",NA,NA,"Joe Czerwinski","@JoeCz","Mana 2008 Pinot Noir (Marlborough)","Pinot Noir","Mana","2",1.75
"6",69834,"France","Bunan's 18th-century castle is called Belle Raisin—Bélouvé in the old Provençal dialect (beautiful grapes in English). With a range of varieties in the blend, it is an attractively integrated wine that has red cherry, raspberry and crisp apple flavors. It is lively and full of ripe fruits, with just a touch of pepper at the end.","Bélouvé",88,15,"Provence","Côtes de Provence",NA,"Roger Voss","@vossroger","Domaines Bunan 2015 Bélouvé Rosé (Côtes de Provence)","Rosé","Domaines Bunan","2",2
"7",55148,"Italy","Darkly colored, this wine opens with aromas of menthol, espresso and plum. The one-dimensional palate is surprisingly dense for the vintage, offering black cherry, espresso and clove alongside polished tannins.",NA,87,27,"Tuscany","Rosso di Montalcino",NA,"Kerin O’Keefe","@kerinokeefe","La Fiorita 2014  Rosso di Montalcino","Sangiovese","La Fiorita","2",1.75
"8",1636,"US","A bit of charred wood and black pepper in the aroma give way to lush berry and cherry flavors that spread across the palate and cling to the sides of the mouth. This wine is lightly oaky and has an attractive richness that lasts on the finish.",NA,85,12,"California","California","California Other","Jim Gordon","@gordone_cellars","Gnarly Head 2015 Pinot Noir (California)","Pinot Noir","Gnarly Head","1",1.25
"9",109383,"US","For the moment, this is rather hard and tight, with notes of black pepper around tangy berry fruit. There are interesting streaks of iron and graphite, and a balanced structure that suggests extended cellaring may be an option. This blend is 61% Cabernet Sauvignon, 22% Merlot, 11% Cabernet Franc and 6% Malbec.","Optu",89,40,"Washington","Columbia Valley (WA)","Columbia Valley","Paul Gregutt","@paulgwine ","Fidelitas 2008 Optu Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Fidelitas","2",2.25
"10",126481,"US","Scents and flavors of rosemary-crusted charred meat, raspberry and cassis liqueur balance savoriness with fruitiness. The palate bears firm, chewy tannins that are buttressed by uplifting acids.",NA,86,38,"Virginia","Virginia",NA,NA,NA,"Breaux 2006 Nebbiolo (Virginia)","Nebbiolo","Breaux","1",1.5
"11",101044,"US","This Bordeaux-style blend is nothing like anything from Napa Valley. It's more acidic and tighter, with rustically old-fashioned tannins. Yet the blackberry, cherry, plum and raisin flavors are thoroughly modern. Pleasant now, and should hold for a few years.","Red Wine",89,48,"California","Monterey County","Central Coast",NA,NA,"Coastview 2009 Red Wine Red (Monterey County)","Bordeaux-style Red Blend","Coastview","2",2.25
"12",50247,"US","Richly layered red fruit accents an explosion of firm lengthy tannin, alongside dashes of clove and cinnamon, in this hearty full-bodied red. Robust and concentrated, it shows oaky bursts of vanilla and smoke on the finish.","District Collection",93,105,"California","Stags Leap District","Napa","Virginie Boone","@vboone","Raymond 2014 District Collection Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","Raymond","4",3.25
"13",68747,"US","Vivid fruit flavors light up this extroverted Viognier, starting in the aroma and lasting through the long finish. It tastes like apricot, orange, pineapple, vanilla and cream. Good acidity keeps it lively and fresh, balancing the full body.","Reserve",88,17,"California","California","California Other","Jim Gordon","@gordone_cellars","Cedar View Winery 2013 Reserve Viognier (California)","Viognier","Cedar View Winery","2",2
"14",73647,"Italy","Made with 100% Pinot Nero, this offers tart apple, lemon rind and roasted hazelnut flavors alongside bright acidity and small, persistent bubbles. It's subtle and refined with a dry finish.","Conte Aimo",89,55,"Lombardy","Franciacorta",NA,"Kerin O’Keefe","@kerinokeefe","Montenisa 2007 Conte Aimo Pinot Nero (Franciacorta)","Pinot Nero","Montenisa","2",2.25
"15",73514,"Italy","An enticing fragrance of wildflower, peach blossom, berry and a hint of white pepper lead the nose. The lively, linear palate offers green apple, pear and toasted almond alongside vibrant acidity.",NA,88,30,"Northeastern Italy","Collio",NA,"Kerin O’Keefe","@kerinokeefe","Draga 2014 Pinot Grigio (Collio)","Pinot Grigio","Draga","2",2
"16",36189,"US","Coming from a cool-climate appellation in a cool vintage and aged in neutral French oak, this wine has a vivid, precise fruit focus. Notes of black currant and blackberry are framed by tart, lively acidity and firm, dry tannins.","McDuffee Vineyards",88,36,"Washington","Columbia Gorge (WA)","Washington Other","Sean P. Sullivan","@wawinereport","Domaine Pouillon 2010 McDuffee Vineyards Cabernet Sauvignon (Columbia Gorge (WA))","Cabernet Sauvignon","Domaine Pouillon","2",2
"17",36029,"Argentina","Red berry, sweet cherry and ripe plum aromas come with a touch of leather. The palate feels a bit sharp and acidic, with tangy, juicy flavors of plum and wild berry as well as some stalkiness. Cleansing and long on the finish thanks to high acidity.","Andean Culture",86,13,"Mendoza Province","Mendoza",NA,"Michael Schachner","@wineschach","Maipe 2011 Andean Culture Bonarda (Mendoza)","Bonarda","Maipe","1",1.5
"18",23145,"US","A majority varietal, a dying breed in the Napa Valley, this also has 5% Petite Sirah. The combination is dense and syrupy in strawberry and a tightness of oak. Time will soften its edges, and there's already a softness to the tannins that delights, the finish light and lean. Cellar through 2017.","Estate",90,39,"California","Napa Valley","Napa","Virginie Boone","@vboone","Tofanelli Family 2012 Estate Charbono (Napa Valley)","Charbono","Tofanelli Family","3",2.5
"19",57563,"France","This wine is ripe, full of red plums and soft tannins. It has a rich feel, soft and fruity. The tannins are velvety with juicy acidity and a generous feel. The wine will be ready to drink from 2018.","Clos des Guettes Premier Cru",89,NA,"Burgundy","Savigny-lès-Beaune",NA,"Roger Voss","@vossroger","Henri de Villamont 2014 Clos des Guettes Premier Cru  (Savigny-lès-Beaune)","Pinot Noir","Henri de Villamont","2",2.25
"20",113597,"US","Light in color and texture, with faint mushroom and earth tones and wispy swirls of cherry, this Pinot is silky with perceptible acidity and a finish of spicy mint. It's structured enough in body to pair beautifully with a range of food.","Perli Vineyard",89,44,"California","Mendocino Ridge",NA,"Virginie Boone","@vboone","Cartograph 2010 Perli Vineyard Pinot Noir (Mendocino Ridge)","Pinot Noir","Cartograph","2",2.25
"21",97591,"Germany","Smoke and savory nut aromas dissipate to reveal a dramatic backdrop of rose petal and peach on the nose of this dry, full-bodied Riesling. The palate is generously textured, with a rich, creamy mouthfeel, but finishes elegantly, with a murmur of lime-pith astringency.","Kirchberg Bingen GG Erste Lage Trocken",92,71,"Rheinhessen",NA,NA,"Anna Lee C. Iijima",NA,"Rheingraf 2011 Kirchberg Bingen GG Erste Lage Trocken Riesling (Rheinhessen)","Riesling","Rheingraf","3",3
"22",18411,"Chile","Passion fruit and canned pea aromas are typical of Leyda, especially in a cool year like 2013. This is consistent on the palate, with zesty acidity. Flavors of passion fruit, mango, lime and green herbs finish citrusy and fresh.","Gran Reserva",88,18,"Leyda Valley",NA,NA,"Michael Schachner","@wineschach","Alto Los Romeros 2013 Gran Reserva Sauvignon Blanc (Leyda Valley)","Sauvignon Blanc","Alto Los Romeros","2",2
"23",50657,"US","Impeccably fresh and dry, this wine smells like crisp apple skin and white peaches, and tastes vivid and refreshing, while combining light alcohol with a substantial and smooth texture.","Rosebud",90,20,"California","Marin County","North Coast","Jim Gordon","@gordone_cellars","McEvoy Ranch 2014 Rosebud Rosé (Marin County)","Rosé","McEvoy Ranch","3",2.5
"24",84357,"Germany","The little-known Mosel village of Reil is the source of this perplexing wine. It possesses attractive and slightly stony, citrus aromas, and starts off on the sweet side, with bright pineapple fruit. But somewhere on the palate it shifts gears, turning dry and tart almost to the point of being sour.","Reiler Mullay-Hofberg Molun",84,30,"Mosel",NA,NA,"Joe Czerwinski","@JoeCz","Melsheimer 2010 Reiler Mullay-Hofberg Molun Riesling (Mosel)","Riesling","Melsheimer","1",1
"25",8437,"US","Whiffs of nuts, dusty mineral and lemon are demure on the nose, but become more concentrated on the palate of this dry white. A blend of Chardonnay, Riesling and Grüner Veltliner, it's more minerally than fruity, but refreshing and brisk.","Gratitude",85,14,"New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima",NA,"Inspire Moore 2014 Gratitude White (Finger Lakes)","White Blend","Inspire Moore","1",1.25
"26",56145,"US","This is aged four years prior to release, which proves a benefit here, as it helps tame the spicy wild-berry flavors. The aromatics offer an olfactory tapestry of orange peel, violets, sandalwood, cherry cola and more. It's balanced and sophisticated, offering many subtle pleasures.","Le Cadeau Vineyard Lot 50",89,65,"Oregon","Chehalem Mountains","Willamette Valley","Paul Gregutt","@paulgwine ","Rocky Point 2011 Le Cadeau Vineyard Lot 50 Pinot Noir (Chehalem Mountains)","Pinot Noir","Rocky Point","2",2.25
"27",61615,"Portugal","With a great balance between fruit and acidity, this is just what a 10-Year-Old tawny should be. Ripe fruits are cut by acidity and given a shot of wood aging. Spice and old gold flavors lead to a delicious fresh aftertaste.","His Eminence's Choice 10-Years-Old Tawny",90,30,"Port",NA,NA,"Roger Voss","@vossroger","Delaforce NV His Eminence's Choice 10-Years-Old Tawny  (Port)","Port","Delaforce","3",2.5
"28",19401,"Italy","Firm and juicy, this opens with intense aromas of violet, ripe berry and baking spice. The vibrant, delicious palate doles out crushed black cherry, succulent raspberry and black pepper alongside bright acidity and smooth tannins. Enjoy it soon with everyday fare or for informal occasions.",NA,89,20,"Piedmont","Barbera d'Alba",NA,"Kerin O’Keefe","@kerinokeefe","Paolo Scavino 2012  Barbera d'Alba","Barbera","Paolo Scavino","2",2.25
"29",70766,"France","Red-plum and strawberry fruits are combined with a firm structure in this ripe wine. It has attractive acidity to give enough freshness. Drink from late 2016.","French Kiss",85,13,"Bordeaux","Bordeaux Clairet",NA,"Roger Voss","@vossroger","Château La Mothe du Barry 2015 French Kiss Red (Bordeaux Clairet)","Bordeaux-style Red Blend","Château La Mothe du Barry","1",1.25
"30",43982,"US","Broadly fruity at first, this turns a little loose-knit, like a Grateful Dead jam. It's compelling but not terribly tight; it meanders into leaf and tea, then chocolate, then back to the light and pretty red fruits.","Cuvée Orleans",91,40,"Washington","Yakima Valley","Columbia Valley","Paul Gregutt","@paulgwine ","McCrea Cellars 2006 Cuvée Orleans Syrah (Yakima Valley)","Syrah","McCrea Cellars","3",2.75
"31",58366,"France","With signs of new wood on the palate, this is a wine that maintains the polished feel of the wines from Pichon Lalande. It has a stronger presence of Cabernet Sauvignon in the blend than in the past, making it more structured than its predecessors, with a dominance of black currant flavor. It shows the soft side of the vintage, but is also meant for aging.",NA,96,NA,"Bordeaux","Pauillac",NA,"Roger Voss","@vossroger","Château Pichon Longueville Comtesse de Lalande 2010  Pauillac","Bordeaux-style Red Blend","Château Pichon Longueville Comtesse de Lalande","5",4
"32",79513,"US","Dave Corey co-fermented 83% Grenache with 17% Syrah to produce this rich wine, which offers nose-tingling aromas of blackberry brandy. It's soft once sipped, but also a bit brutal, with blood and barrel-age prominent alongside flavors of blackberry-peppercorn cake. Serve as dessert.","Elevation Sensation",91,35,"California","Paso Robles","Central Coast","Matt Kettmann","@mattkettmann","Core Winery 2010 Elevation Sensation Grenache-Syrah (Paso Robles)","Grenache-Syrah","Core Winery","3",2.75
"33",15616,"US","Hat Trick is the best of the best of Morgan's estate vineyard, which is in the chilliest northwestern part of the Highlands. Acidity stars, giving the wine a brilliant crispness that's so clean and fine. Barrel fermented in one-third new French oak, the wine is incredibly rich and leesy. The terroir has coaxed out complex layers of pineapples, Meyer lemons, limes, apricots and very exotic tropical fruits suggesting golden mangoes and papayas. The oak adds even richer layers of crème brûlée to this vastly enjoyable wine.","Double L Vineyard Hat Trick",95,65,"California","Santa Lucia Highlands","Central Coast",NA,NA,"Morgan 2006 Double L Vineyard Hat Trick Chardonnay (Santa Lucia Highlands)","Chardonnay","Morgan","4",3.75
"34",2771,"US","Rather vegetal aromas of jalapeño and bell pepper mix with red fruit on the nose of this bottling. Those same bell peppery notes carry through the palate, which is intriguing but will likely confuse many drinkers.","Serena's Private Reserve",84,26,"California","Paso Robles","Central Coast","Matt Kettmann","@mattkettmann","Four Sisters Ranch 2011 Serena's Private Reserve Cabernet Sauvignon (Paso Robles)","Cabernet Sauvignon","Four Sisters Ranch","1",1
