product_name,district,region,year,type,producer,volume,price_nok,price_pr_litre_nok,apk,alcohol,product_num,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,country
Mouton Cadet Rouge 2016,Bordeaux,ovrige,2016,Red wine,Baron Philippe de Rothschild,0.75,176.5,235.33,0.057366251646623886,13.5,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-59101,7,7,7,0,0,France
Cellier des Dauphins Signature Vieilles Vignes Côte-du-Rhône 2017,Rhône Sør,Côtes du Rhône,2017,Red wine,Les Prod. Réunis,0.75,154.9,206.53,0.06778676221372197,14,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-65101,6,7,7,0,0,France
Cellier des Dauphins Côtes du Rhône Réserve 2007,Rhône Sør,Côtes du Rhône,2007,Red wine,Les Prod. Réunis,0.25,55.6,222.4,0.05845323741007194,13,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-65104,7,6,7,0,0,France
Ruffino Chianti 2017,Toscana,Chianti,2017,Red wine,Ruffino,0.75,129.9,173.2,0.07217090069284066,12.5,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-66001,6,7,6,0,0,Italy
Periquita 2016,Setubal,ovrige,2016,Red wine,J.M. da Fonseca,0.75,119.9,159.87,0.08131606930631137,13,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67001,7,7,7,0,0,Portugal
Periquita 2016,Setubal,ovrige,2016,Red wine,J.M. da Fonseca,0.38,71.9,191.73,0.06780368226151359,13,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67002,4,6,7,0,0,Portugal
Periquita 2010,Setubal,ovrige,2010,Red wine,J.M. da Fonseca,1.5,322.9,215.27,0.060389278580387416,13,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67005,4,6,7,0,0,Portugal
Periquita 2015,Setubal,ovrige,2015,Red wine,J.M. da Fonseca,3,433.9,144.63,0.08988453294613842,13,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67006,7,6,7,0,0,Portugal
Faustino I Gran Reserva 2008,Rioja,ovrige,2008,Red wine,Bod. Faustino,0.75,239.9,319.87,0.04220464563729015,13.5,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67801,9,8,8,0,0,Spain
Campo Viejo Crianza 2015,Rioja,ovrige,2015,Red wine,Bod. Campo Viejo,0.75,121.9,162.53,0.08613794376422815,14,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67901,8,8,8,0,0,Spain
Faustino V Reserva 2016,Rioja,ovrige,2016,Red wine,Bod. Faustino,0.75,179.9,239.87,0.05628048526285071,13.5,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-68501,8,8,7,0,0,Spain
