name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Valtellina Superiore,Sassella Riserva,Lombardiet,Italy,2015,Red wine,Arpepe,750,383,510.67,0.026435859,13.5,75489,86.42857143,7,6,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75489
Viña Soledad,Tête de Cuvée Reserva,Rioja,Spain,2006,White wine,Bodegas Franco-Españolas,750,159,212,0.056603774,12,75639,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75639
Purcari,Freedom Blend,NA,Moldova,2015,Red wine,Purcari,750,199,265.33,0.050880036,13.5,75218,87,9,6,9,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75218
Château de Cazeneuve,Le Roc des Mates,Languedoc-Roussillon,France,2011,Red wine,Château de Cazeneuve,750,270,360,0.040277778,14.5,71540,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71540
Château de Cazeneuve,Les Calcaires,Languedoc-Roussillon,France,2013,Red wine,Château de Cazeneuve,750,221,294.67,0.045813961,13.5,71024,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71024
Würzburger Pfaffenberg,Silvaner Trocken,Franken,Germany,2014,White wine,WG Bürgerspital,750,225,300,0.041666667,12.5,72808,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72808
Würzburger,Silvaner Trocken,Franken,Germany,2014,White wine,WG Bürgerspital,750,185,246.67,0.046620992,11.5,71413,NaN,7,9,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71413
Sterhuis Astra,White,Western Cape,South Africa,2009,White wine,Sterhuis,750,349,465.33,0.030086175,14,90300,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=90300
Rosso di Valtellina,NA,Lombardiet,Italy,2014,Red wine,Arpepe,750,253,337.33,0.035573474,12,72930,NaN,6,6,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=72930
Arbe Garbe,White,Kalifornien,US,2017,White wine,Arbe Garbe,750,439,585.33,0.023918132,14,75815,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75815
