nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
101;1;1;Renat;;204.00;;700.00;291.43;1993-10-01;0;Vodka och Brännvin;Vodka;;Flaska;;;Sverige;Pernod Ricard;Pernod Ricard Sweden AB;;;37.50%;FS;Ordinarie sortiment;0;0;;0;Säd.
7548901;1000008;75489;Valtellina Superiore;Sassella Riserva;383.00;;750.00;510.67;2015-09-01;0;Rött vin;;;Flaska;;Lombardiet;Italien;Arpepe;Vinoliv Import AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
7563901;1000083;75639;Viña Soledad;Tête de Cuvée Reserva;159.00;;750.00;212.00;2015-09-01;0;Vitt vin;Fylligt & Smakrikt;;Flaska;Natur;Rioja;Spanien;Bodegas Franco-Españolas;Terrific Wines AB;2006;;12.00%;BS;Övrigt sortiment;0;0;;0;Viura.
7521801;1000131;75218;Purcari;Freedom Blend;199.00;;750.00;265.33;2015-09-01;0;Rött vin;;;Flaska;;;Moldavien;Purcari;High Coast Wine AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
8936603;1000155;89366;Midas Golden Pilsner;;26.70;;330.00;80.91;2015-09-01;0;Öl;Ljus lager;Modern stil;Flaska;;;Sverige;Imperiebryggeriet AB;Imperiebryggeriet AB;;;4.90%;BS;Övrigt sortiment;0;0;;0;
8780501;1000369;87805;Josés;Tequila Blanco;372.00;;700.00;531.43;2015-09-01;0;Tequila och Mezcal;Tequila;;Flaska;;;Mexiko;Tierra de Agaves;Fine Brands Sweden AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
8587801;1000372;85878;Fighting Cock;Kentucky Straight Bourbon;574.00;;1000.00;574.00;2015-09-01;0;Whisky;Annan whisky;;Flaska;;Kentucky;USA;Heaven Hill Distilleries;Fine Brands Sweden AB;;;51.50%;BS;Övrigt sortiment;0;0;;0;
8797501;1000416;87975;Cognac Leyrat;Fine VS;431.00;;700.00;615.71;2015-09-01;0;Cognac;;;Flaska;;Cognac;Frankrike;Domaine de chez maillard;Fine Brands Sweden AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
8983803;1000432;89838;Schlappeseppel Specialität;;29.90;;330.00;90.61;2015-09-01;0;Öl;Mellanmörk lager;Märzen och wienerstil;Flaska;Bygelkork;;Tyskland;Schlappeseppel GmbH;Dryckesboden Sverige AB;;;5.60%;BS;Övrigt sortiment;0;0;;0;
8996703;1000435;89967;Schlappeseppel;Dunkel;21.80;;330.00;66.06;2015-09-01;0;Öl;Mörk lager;Dunkel;Flaska;Kapsyl;;Tyskland;Schlappeseppel GmbH;Dryckesboden Sverige AB;;;5.20%;BS;Övrigt sortiment;0;0;;0;
8998601;1000438;89986;Schlappeseppel;Hefe Weissbier;28.70;;500.00;57.40;2015-09-01;0;Öl;Veteöl;Hefeweizen;Flaska;Kapsyl;;Tyskland;Schlappeseppel GmbH;Dryckesboden Sverige AB;;;5.50%;BS;Övrigt sortiment;0;0;;0;
8993603;1000441;89936;Schlappeseppel;Pils;21.80;;330.00;66.06;2015-09-01;0;Öl;Ljus lager;Pilsner - tysk stil;Flaska;Kapsyl;;Tyskland;Schlappeseppel GmbH;Dryckesboden Sverige AB;;;5.10%;BS;Övrigt sortiment;0;0;;0;
8962103;1000444;89621;Schlappeseppel;Kellerbier;22.80;;330.00;69.09;2015-09-01;0;Öl;Ljus lager;Zwickel / keller- och landbier;Flaska;Kapsyl;;Tyskland;Schlappeseppel GmbH;Dryckesboden Sverige AB;;;5.50%;BS;Övrigt sortiment;0;0;;0;
8973001;1000454;89730;Valmiermuiza;Alus;32.10;;500.00;64.20;2015-09-01;0;Öl;Mellanmörk lager;Märzen och wienerstil;Flaska;;;Lettland;Valmiermuiza;CCS AB;;;5.20%;BS;Övrigt sortiment;0;0;;0;
7154001;1000923;71540;Château de Cazeneuve;Le Roc des Mates;270.00;;750.00;360.00;2015-10-01;0;Rött vin;;;Flaska;;Languedoc-Roussillon;Frankrike;Château de Cazeneuve;Sybaris - Wine & Spirits AB;2011;;14.50%;BS;Övrigt sortiment;1;0;;0;
7102401;1000940;71024;Château de Cazeneuve;Les Calcaires;221.00;;750.00;294.67;2015-10-01;0;Rött vin;;;Flaska;;Languedoc-Roussillon;Frankrike;Château de Cazeneuve;Sybaris - Wine & Spirits AB;2013;;13.50%;BS;Övrigt sortiment;1;0;;0;
3063803;1001025;30638;Kråkudden;Ljus Lager;26.20;;330.00;79.39;2015-10-01;0;Öl;Ljus lager;Dortmunder och helles;Flaska;;Stockholms län;Sverige;Roslags Näsby Bryggeri;Aktiebolaget Roslags Näsby Bryggeri;;;5.00%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
3064202;1001341;30642;Snälleröds Jungfruns Brännvin;;219.00;;500.00;438.00;2015-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;Skåne län;Sverige;Arcus Sweden AB;Arcus Sweden AB;;;38.00%;BS;Övrigt sortiment;1;0;;0;
3064703;1001367;30647;This Ale Is India Pale;;27.20;;330.00;82.42;2015-10-01;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Skåne län;Sverige;Skelderwikens Brygghus AB;Skelderwikens Brygghus AB;;;5.80%;TSLS;Lokalt och småskaligt;0;0;;0;Pale ale- och cara hellmalt samt humle av sorterna cascade, centennial och citra.
3065003;1001500;30650;Halmstad Brygghus;Vallgatan Pale Ale;21.90;;330.00;66.36;2015-10-01;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Hallands län;Sverige;Halmstad Brygghus;Halmstad Brygghus AB;;;5.50%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
7280801;1001536;72808;Würzburger Pfaffenberg;Silvaner Trocken;225.00;;750.00;300.00;2015-10-01;0;Vitt vin;;;Flaska;;Franken;Tyskland;WG Bürgerspital;Sybaris - Wine & Spirits AB;2014;;12.50%;BS;Övrigt sortiment;0;0;;0;
