"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"1",1000008,"Valtellina Superiore","Sassella Riserva",383,750,510.67,"Rött vin","","Flaska","","Lombardiet","Italien","Arpepe",2015,"13.50%",0,0,"",0,"",0.0264358587737678
"2",1000083,"Viña Soledad","Tête de Cuvée Reserva",159,750,212,"Vitt vin","Fylligt & Smakrikt","Flaska","Natur","Rioja","Spanien","Bodegas Franco-Españolas",2006,"12.00%",0,0,"",0,"Viura.",0.0566037735849057
"3",1000131,"Purcari","Freedom Blend",199,750,265.33,"Rött vin","","Flaska","","","Moldavien","Purcari",2015,"13.50%",0,0,"",0,"",0.0508800361813591
"4",1000923,"Château de Cazeneuve","Le Roc des Mates",270,750,360,"Rött vin","","Flaska","","Languedoc-Roussillon","Frankrike","Château de Cazeneuve",2011,"14.50%",1,0,"",0,"",0.0402777777777778
"5",1000940,"Château de Cazeneuve","Les Calcaires",221,750,294.67,"Rött vin","","Flaska","","Languedoc-Roussillon","Frankrike","Château de Cazeneuve",2013,"13.50%",1,0,"",0,"",0.0458139613805274
"6",1001536,"Würzburger Pfaffenberg","Silvaner Trocken",225,750,300,"Vitt vin","","Flaska","","Franken","Tyskland","WG Bürgerspital",2014,"12.50%",0,0,"",0,"",0.0416666666666667
"7",1001549,"Würzburger","Silvaner Trocken",185,750,246.67,"Vitt vin","","Flaska","","Franken","Tyskland","WG Bürgerspital",2014,"11.50%",0,0,"",0,"",0.0466209916082215
"8",1003356,"Sterhuis Astra","White",349,750,465.33,"Vitt vin","","Flaska","Natur","Western Cape","Sydafrika","Sterhuis",2009,"14.00%",0,0,"",0,"Sauvignon blanc, chenin blanc och chardonnay.",0.0300861754024026
"9",1004022,"Rosso di Valtellina","",253,750,337.33,"Rött vin","","Flaska","","Lombardiet","Italien","Arpepe",2014,"12.00%",0,0,"",0,"",0.0355734740461862
"10",1004340,"Arbe Garbe","White",439,750,585.33,"Vitt vin","","Flaska","Naturkork","Kalifornien","USA","Arbe Garbe",2017,"14.00%",0,0,"",0,"",0.0239181316522304
"11",1004436,"Escada","Touriga Nacional",89,750,118.67,"Rött vin","Fruktigt & Smakrikt","Flaska","","Lisboa","Portugal","DFJ Vinhos",2017,"13.00%",0,0,"",0,"Touriga nacional.",0.109547484621219
"12",1004489,"Apothic Red","Winemaker's Blend",299,3000,99.67,"Rött vin","Fruktigt & Smakrikt","Box","Tryckknapp topp","Kalifornien","USA","Apothic Wines",2016,"13.50%",0,0,"",0,"",0.135446975017558
