product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Martini Rosso,0,0,0,0,0,15
Martini Rosso,0,0,0,0,0,15
Martini Bianco,0,0,0,0,0,15
Martini Bianco,0,0,0,0,0,15
Martini Extra Dry,5,0,0,0,3,15
Dubonnet,0,0,0,0,0,14.8
Bols Banana,0,0,0,0,0,17
Bols Advocaat,0,0,0,0,0,15
Bols Advocaat,0,0,0,0,0,15
Warninks Advocaat,0,0,0,0,0,17.2
Warninks Advocaat,0,0,0,0,0,17.2
Sandeman Medium Sweet,8,6,0,0,7,15
Sandeman Medium Dry,8,7,0,0,5,15
Martini Rosato,7,0,0,0,6,15
Tio Pepe Fino,4,7,0,0,1,15
Tio Pepe Fino,5,7,0,0,1,15
Bristol Cream,9,7,0,0,9,17.5
Bristol Cream,9,7,0,0,9,17.5
Mouton Cadet Rouge 2016,7,7,7,0,0,13.5
Cellier des Dauphins Signature Vieilles Vignes Côte-du-Rhône 2017,6,7,7,0,0,14
Cellier des Dauphins Côtes du Rhône Réserve 2007,7,6,7,0,0,13
Ruffino Chianti 2017,6,7,6,0,0,12.5
Periquita 2016,7,7,7,0,0,13
Periquita 2016,4,6,7,0,0,13
Periquita 2010,4,6,7,0,0,13
Periquita 2015,7,6,7,0,0,13
Faustino I Gran Reserva 2008,9,8,8,0,0,13.5
Campo Viejo Crianza 2015,8,8,8,0,0,14
Faustino V Reserva 2016,8,8,7,0,0,13.5
Faustino V Reserva 2016,7,5,6,0,0,13.5
Gran Feudo Crianza 2013,8,8,7,0,0,13
Brolio Chianti Classico 2015,8,8,8,0,0,13.5
Brolio Chianti Classico 2016,8,8,8,0,0,13.5
Brolio Chianti Classico 2015,8,8,8,0,0,13.5
Santepietre Bardolino Classico 2017,4,7,4,0,0,12.5
Dopff & Irion Cuvée René Dopff Gewurztraminer 2016,8,7,0,0,3,13.5
Henri Bourgeois Sancerre Grande Réserve 2018,7,9,0,0,1,13
Henri Bourgeois Sancerre Grande Réserve 2018,7,9,0,0,1,13
Königsmosel Riesling 2018,4,7,0,0,5,8.5
Blue Nun 2016,4,7,0,0,4,8.5
Blue Nun,4,7,0,0,3,9.5
Duca del Frassino Soave Classico 2018,6,7,0,0,1,12.5
